date,interval,key
2018-07-20,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-20.zip
2018-07-21,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-21.zip
2018-07-22,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-22.zip
2018-07-23,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-23.zip
2018-07-24,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-24.zip
2018-07-25,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-25.zip
2018-07-26,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-26.zip
2018-07-27,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-27.zip
2018-07-28,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-28.zip
2018-07-29,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-29.zip
2018-07-30,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-30.zip
2018-07-31,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-07-31.zip
2018-08-01,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-01.zip
2018-08-01,monthly,data/spot/monthly/aggTrades/RPXETH/RPXETH-aggTrades-2018-08.zip
2018-08-02,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-02.zip
2018-08-03,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-03.zip
2018-08-04,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-04.zip
2018-08-05,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-05.zip
2018-08-06,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-06.zip
2018-08-07,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-07.zip
2018-08-08,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-08.zip
2018-08-09,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-09.zip
2018-08-10,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-10.zip
2018-08-11,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-11.zip
2018-08-12,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-12.zip
2018-08-13,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-13.zip
2018-08-14,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-08-14.zip
2018-10-01,monthly,data/spot/monthly/aggTrades/RPXETH/RPXETH-aggTrades-2018-10.zip
2018-10-19,daily,data/spot/daily/aggTrades/RPXETH/RPXETH-aggTrades-2018-10-19.zip
