date,interval,key
2020-10-13,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-13.zip
2020-10-14,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-14.zip
2020-10-15,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-15.zip
2020-10-16,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-16.zip
2020-10-17,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-17.zip
2020-10-18,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-18.zip
2020-10-19,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-19.zip
2020-10-20,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-20.zip
2020-10-21,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-21.zip
2020-10-22,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-22.zip
2020-10-23,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-23.zip
2020-10-24,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-24.zip
2020-10-25,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-25.zip
2020-10-26,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-26.zip
2020-10-27,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-27.zip
2020-10-28,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-28.zip
2020-10-29,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-29.zip
2020-10-30,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-30.zip
2020-10-31,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-10-31.zip
2020-11-01,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-01.zip
2020-11-01,monthly,data/spot/monthly/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11.zip
2020-11-02,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-02.zip
2020-11-03,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-03.zip
2020-11-04,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-04.zip
2020-11-05,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-05.zip
2020-11-06,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-06.zip
2020-11-07,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-07.zip
2020-11-08,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-08.zip
2020-11-09,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-09.zip
2020-11-10,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-10.zip
2020-11-11,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-11.zip
2020-11-12,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-12.zip
2020-11-13,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-13.zip
2020-11-14,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-14.zip
2020-11-15,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-15.zip
2020-11-16,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-16.zip
2020-11-17,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-17.zip
2020-11-18,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-18.zip
2020-11-19,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-19.zip
2020-11-20,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-20.zip
2020-11-21,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-21.zip
2020-11-22,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-22.zip
2020-11-23,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-23.zip
2020-11-24,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-24.zip
2020-11-25,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-25.zip
2020-11-26,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-26.zip
2020-11-27,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-27.zip
2020-11-28,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-28.zip
2020-11-29,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-29.zip
2020-11-30,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-11-30.zip
2020-12-01,daily,data/spot/daily/aggTrades/ONEBIDR/ONEBIDR-aggTrades-2020-12-01.zip
