date,interval,key
2025-10-15,daily,data/spot/daily/aggTrades/YBTRY/YBTRY-aggTrades-2025-10-15.zip
2025-10-16,daily,data/spot/daily/aggTrades/YBTRY/YBTRY-aggTrades-2025-10-16.zip
