date,interval,key
2025-10-14,daily,data/futures/um/daily/aggTrades/ENSOUSDT/ENSOUSDT-aggTrades-2025-10-14.zip
2025-10-15,daily,data/futures/um/daily/aggTrades/ENSOUSDT/ENSOUSDT-aggTrades-2025-10-15.zip
